fiscal_year,cash_and_cash_equivalents,cet1_ratio,efficiency_ratio_reported,loan_credit_loss_provision,loan_loss_allowance,net_charge_offs,net_income,net_interest_income,net_interest_margin_reported,noninterest_expense,preferred_equity,risk_weighted_assets,roa_reported,roe_reported,tier1_capital_ratio,tier1_leverage_ratio,total_assets,total_capital_ratio,total_deposits,total_equity,total_loans,total_revenue,trading_assets,trading_liabilities,unfunded_credit_loss_allowance,unfunded_credit_loss_provision,common_equity,provision_for_credit_losses,allowance_for_credit_losses,loan_to_deposit_ratio,cash_to_assets_ratio,equity_to_assets_ratio,net_charge_off_ratio,allowance_to_loans_ratio,trading_asset_exposure,roa_calculated,roe_calculated,efficiency_ratio_calculated,total_assets_yoy,total_loans_yoy,total_deposits_yoy,net_income_yoy,total_revenue_yoy,net_interest_income_yoy,net_charge_offs_yoy,provision_for_credit_losses_yoy,allowance_for_credit_losses_yoy,common_equity_yoy,trading_assets_yoy,trading_liabilities_yoy
2021,348221000000.0,,,-4173000000.0,12387000000.0,2243000000.0,31978000000.0,42934000000.0,,59731000000.0,24708000000.0,,,,,,3169495000000.0,,2064446000000.0,270066000000.0,979124000000.0,89113000000.0,247080000000.0,100690000000.0,1456000000.0,-421000000.0,245358000000.0,-4594000000.0,13843000000.0,0.4742792981749099,0.10986639827480403,0.08520789589508738,,0.012651104456636749,0.07795563646574612,0.010678693805202165,0.11778485791635206,0.670283796976872,0.12408307907393425,,0.14980172432998418,0.7870794679780933,0.041916097652230845,-0.009824723247232473,-0.4557146323707838,-1.4058303886925796,-0.3306092843326886,-0.01230204416820308,0.24251963752300684,0.4118059450364554
2022,230203000000.0,,,2460000000.0,12682000000.0,2172000000.0,27528000000.0,52462000000.0,,61438000000.0,28397000000.0,,,,,,3051375000000.0,,1930341000000.0,273197000000.0,1045747000000.0,94950000000.0,296108000000.0,80399000000.0,1540000000.0,83000000.0,244800000000.0,2543000000.0,14222000000.0,0.5417421067054992,0.07544238253246487,0.08953242390725492,0.002145321850132675,0.012127216238726958,0.09704084224325099,0.008850209054360564,0.10134318000673707,0.647056345444971,-0.03726776663159273,0.06804347559655366,-0.06495931596176407,-0.1391581712427294,0.06550110533816615,0.22192201984441234,-0.03165403477485511,,0.027378458426641623,-0.0022742278629594307,0.1984296584102315,-0.20151951534412554
2023,333073000000.0,,,4725000000.0,13342000000.0,3799000000.0,26305000000.0,56931000000.0,,65845000000.0,28397000000.0,,,,,,3180151000000.0,,1923827000000.0,290209000000.0,1053732000000.0,102769000000.0,277354000000.0,95530000000.0,1209000000.0,-331000000.0,261812000000.0,4394000000.0,14551000000.0,0.5477270045591418,0.10473496384291187,0.09125635858171514,0.003618993093048323,0.012661663496980257,0.08721409769536101,0.008442554841302114,0.09337848727205603,0.6407087740466483,0.04220261357584695,0.007635690085651692,-0.0033745333078456087,-0.04442749200813717,0.08234860452869931,0.08518546757653159,0.7490791896869244,0.7278804561541486,0.02313317395584306,0.06949346405228758,-0.06333499939211369,0.18819885819475365
2024,290114000000.0,,,5935000000.0,13240000000.0,6031000000.0,26973000000.0,56060000000.0,,66812000000.0,23159000000.0,,,,,,3261299000000.0,,1965467000000.0,293963000000.0,1095835000000.0,105856000000.0,314460000000.0,92543000000.0,1096000000.0,-114000000.0,270804000000.0,5821000000.0,14336000000.0,0.55754433933513,0.08895657834500915,0.09013678291993467,0.005611362660479994,0.012082110901732468,0.0964217019046705,0.008374822439047108,0.09234608985024959,0.6311593107617895,0.02551702733612335,0.03995607991405784,0.021644357834670166,0.025394411708800607,0.030038241103834813,-0.015299221865064728,0.5875230323769413,0.3247610377787893,-0.014775616796096487,0.03434525537408522,0.13378570346921262,-0.03126766460797655
2025,231845000000.0,,,5595000000.0,13203000000.0,5631000000.0,30509000000.0,60096000000.0,,69727000000.0,25992000000.0,,,,,,3411738000000.0,,2018729000000.0,303243000000.0,1185700000000.0,113097000000.0,366954000000.0,105996000000.0,1177000000.0,80000000.0,277251000000.0,5675000000.0,14380000000.0,0.587349763143047,0.06795510088992765,0.08888226469910644,0.004936150442574845,0.011135194399932529,0.1075563246650241,0.009143962486645885,0.10217244970747112,0.6165238688913057,0.0461285518439125,0.08200595892629821,0.027098903212315444,0.13109405701998295,0.06840424727932286,0.07199429183018195,-0.0663239927043608,-0.025081601099467447,0.0030691964285714285,0.023806886161208844,0.1669337912612097,0.1453702603114228
